# Glasser HCP-MMP1 FreeSurfer Color LUT
# Compatible with freeview -l and FreeSurferColorLUT format
# LH parcels: 1001-1180, RH parcels: 2001-2180
#
# ID  Name  R  G  B  A
2017   R_IPS1_ROI                                     63 141 175   0
2018   R_FFC_ROI                                      52 108 122   0
2019   R_V3B_ROI                                      40  80 222   0
2020   R_LO1_ROI                                      13  67 200   0
2021   R_LO2_ROI                                      19  66 182   0
2022   R_PIT_ROI                                      37  74 184   0
2023   R_MT_ROI                                       31  99 108   0
2024   R_A1_ROI                                      232  10  46   0
2025   R_PSL_ROI                                     189 148 136   0
2026   R_SFL_ROI                                      66  60  47   0
2027   R_PCV_ROI                                     130 146 157   0
2028   R_STV_ROI                                     139 115 106   0
2029   R_7Pm_ROI                                     153 213 197   0
2030   R_7m_ROI                                       47  48  53   0
2031   R_POS1_ROI                                     83  83 118   0
2032   R_23d_ROI                                     135  56  98   0
2033   R_v23ab_ROI                                    26  11  25   0
2034   R_d23ab_ROI                                    60  16  44   0
2035   R_31pv_ROI                                     68  17  50   0
2036   R_5m_ROI                                       43 177  49   0
2037   R_5mv_ROI                                     139 165 129   0
2038   R_23c_ROI                                     205 197 195   0
2039   R_5L_ROI                                       64 163  67   0
2040   R_24dd_ROI                                     69 167  48   0
2041   R_24dv_ROI                                    112 161  66   0
2042   R_7AL_ROI                                     113 187 122   0
2043   R_SCEF_ROI                                    141 153 111   0
2044   R_6ma_ROI                                     150 176 139   0
2045   R_7Am_ROI                                     169 249 216   0
2046   R_7PL_ROI                                     154 253 227   0
2047   R_7PC_ROI                                      71 182 106   0
2048   R_LIPv_ROI                                     61 129 171   0
2049   R_VIP_ROI                                      54 137 147   0
2050   R_MIP_ROI                                     126 210 197   0
2051   R_1_ROI                                        28 199  44   0
2052   R_2_ROI                                        51 185  69   0
2053   R_3a_ROI                                       44 225  29   0
2054   R_6d_ROI                                       31 165  41   0
2055   R_6mp_ROI                                      67 163  47   0
2056   R_6v_ROI                                       89 185  66   0
2057   R_p24pr_ROI                                   152 148 120   0
2058   R_33pr_ROI                                    117  96  97   0
2059   R_a24pr_ROI                                   176 134 132   0
2060   R_p32pr_ROI                                   176 149 134   0
2061   R_a24_ROI                                      73  18  38   0
